trial,UA_est,mh_est
1,473.9587944185178,9.974570999459234
2,505.7859252380687,10.057750428496604
3,506.83534983647377,9.942735695314187
4,482.40442181286755,10.005183619638052
5,520.1421712761409,10.0857112832359
6,493.9882631523192,10.085425292325606
7,507.44001441658395,10.00477878216873
8,475.28057008754405,10.057046934888533
9,520.0083696571676,10.074117666614375
10,524.8691951177302,10.006625314635393
11,513.609513832184,9.960327476956476
12,510.11243335660885,9.986326794335886
13,494.2096506358311,10.044072814683387
14,545.450506546325,10.027026291206012
15,487.82275527218724,9.995566463239056
16,516.2067111533383,9.909905608936716
17,498.8187718461919,10.06331227728647
18,493.65440235239134,10.025566323323623
19,491.15660621492253,9.975066956654857
20,540.518290931879,9.967886161650515
21,518.4327481882119,9.95288825296201
22,504.62648112960903,9.923448602947206
23,478.6048737943132,9.997940906940183
24,487.8557187447012,9.963301184904594
25,497.09643193916986,10.02259366605354
26,523.8005583957048,9.997282148324706
27,496.1915986915396,9.971221147137227
28,489.34096742165514,9.982027906372366
29,493.7434893783083,9.956864781130875
30,476.3261016416441,9.939028531774214
31,519.2928615939462,10.02848963266196
32,475.20379251983246,10.008894085641728
33,498.9487638853396,9.941943390542574
34,471.9408883593708,9.989567017188929
35,507.9125901212342,9.952374034748711
36,473.51445209024666,9.998223620140152
37,487.8034601637543,10.046661801670291
38,487.44586422755674,9.938478688914039
39,497.0420610325963,10.019756884777772
40,494.1784728454973,10.077678993205748
41,455.2297376304999,9.992167070842967
42,505.5062226094827,10.03661389176563
43,500.0907384052194,9.99115653694927
44,494.78680825214667,10.062805643451814
45,494.71365733418145,9.990205989058813
46,526.0297063285636,10.028909485054443
47,539.8192085876166,9.955188047721798
48,510.38608984490975,9.994809551503602
49,500.19745358394147,9.971394390067422
50,486.00193722280886,9.986718187008233
51,475.202199369565,9.974504434432287
52,493.2854939063477,10.010222189738661
53,496.41923353467723,9.961557798662641
54,518.0407084667161,9.966991826923667
55,476.78186437728283,9.938820935308074
56,471.96826700096227,9.98459906626949
57,468.7280187976595,10.018263308707624
58,526.3363133124232,10.005838436220218
59,512.4058696252422,10.022704605448109
60,494.7382486456447,9.943850677922928
61,515.2367975852321,10.059321752608167
62,491.69081879772625,10.022768046031043
63,477.73145340196874,9.94389050430225
64,505.22273418028306,10.05917327967514
65,495.05685197468114,9.941279993042468
66,491.44103268728287,10.089160161659871
67,473.62252991025264,10.039694882824927
68,532.7468696545706,10.004777901815956
69,461.69737367136895,10.033505949148294
70,471.53110280215657,10.070056981484864
71,482.1301063866723,9.990196503268784
72,498.2943311281887,10.070665382987334
73,503.3108191530078,9.934294540183094
74,502.05519140359223,10.040658126621361
75,515.3026481990524,10.07334506481981
76,489.80476994085757,9.947215527886932
77,488.58240796919006,9.978310679747409
78,506.03293323598723,9.988569010032961
79,471.8484180191437,9.975042309394706
80,506.85879709650214,10.075455080710153
81,531.8888005760039,10.017852830143664
82,469.85035137378526,9.970511786082639
83,483.9031342198675,10.03526749875318
84,496.9674285838578,10.01743064795222
85,497.8093181147781,10.037098373150211
86,492.4862489116334,9.998531890535256
87,504.6894913082221,10.099330268447833
88,518.0866674936455,10.002377535781967
89,541.5801288487426,10.052331015294408
90,502.3500989099515,9.958762304462805
91,507.53031435220174,10.033631843504095
92,496.16798081128263,10.022871215362956
93,514.946763804635,10.025212687652438
94,511.75150909410036,9.966731921324294
95,482.1043023199309,9.959244839945603
96,492.4500018354951,10.024162652478415
97,515.2478862790861,10.04991086168507
98,504.54299735684515,9.997461210976045
99,509.2882779017758,10.028973917823484
100,461.2965719016124,9.996518862939103
